Course ID,Discipline,Course Name,SME Name,Institute,"
Co-ordinating Institute",Duration,Type of course,Start date,End date,Exam date,Enrollment End date,Exam Registration End date,UG/PG,Core/Elective,FDP,Applicable NPTEL Domain,Click here to Join the course,Current course ID,Old course URL,Old Course ID,Course ID,NPTEL URL
noc25-bt41,Bioscience and Biotechnology,Structural Biology,Prof. Saugata Hazra,IIT Roorkee,IIT Roorkee,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Biosciences,https://onlinecourses.nptel.ac.in/noc25_bt41/preview,noc25_bt41,https://onlinecourses.nptel.ac.in/noc24_bt10/preview,https://onlinecourses.nptel.ac.in/noc24_bt10/preview,noc24_bt10,
noc25-bt43,Bioscience and Biotechnology,Biological Data Analysis and Visualization with R,Prof. Riddhiman Dhar,IIT Kharagpur,IIT Kharagpur,8 Weeks,New,17 02 2025,11 04 2025,27 04 2025,17 02 2025,24 02 2025,UG/PG,Core ,Yes,"Computational Biology
Bioengineering",https://onlinecourses.nptel.ac.in/noc25_bt43/preview,noc25_bt43,,,,
noc25-bt02,Biotechnology and Bioengineering,Basics of Biology,Prof. Vishal Trivedi,IIT Guwahati,IIT Guwahati,12 Weeks,Rerun,20 01 2025,11 04 2025,3 05 2025,27 01 2025,14 02 2025,UG,Core,No,Biosciences,https://onlinecourses.nptel.ac.in/noc25_bt02/preview,noc25_bt02,https://onlinecourses.nptel.ac.in/noc23_bt25/preview,https://onlinecourses.nptel.ac.in/noc23_bt25/preview,noc23_bt25,
noc25-bt03,Biotechnology and Bioengineering,Biochemistry - IITM,Prof. Subramaniam K,IIT Madras,IIT Madras,12 Weeks,Rerun,20 01 2025,11 04 2025,3 05 2025,27 01 2025,14 02 2025,UG,Core,No,Biosciences,https://onlinecourses.nptel.ac.in/noc25_bt03/preview,noc25_bt03,https://onlinecourses.nptel.ac.in/noc24_bt12/preview,https://onlinecourses.nptel.ac.in/noc24_bt12/preview,noc24_bt12,
noc25-bt04,Biotechnology and Bioengineering,Bioelectrochemistry,Prof. Mainak Das,IIT Kanpur,IIT Kanpur,4 Weeks,Rerun,20 01 2025,14 02 2025,22 03 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_bt04/preview,noc25_bt04,https://onlinecourses.nptel.ac.in/noc24_bt13/preview,https://onlinecourses.nptel.ac.in/noc24_bt13/preview,noc24_bt13,
noc25-bt05,Biotechnology and Bioengineering,Bioengineering: An Interface with Biology and Medicine,Prof. Sanjeeva Srivastava,IIT Bombay,IIT Bombay,8 Weeks,Rerun,20 01 2025,14 03 2025,23 03 2025,27 01 2025,14 02 2025,UG,Core,No,Bioengineering,https://onlinecourses.nptel.ac.in/noc25_bt05/preview,noc25_bt05,https://onlinecourses.nptel.ac.in/noc24_bt14/preview,https://onlinecourses.nptel.ac.in/noc24_bt14/preview,noc24_bt14,
noc25-bt06,Biotechnology and Bioengineering,BioInformatics: Algorithms and Applications,Prof. Michael Gromiha,IIT Madras,IIT Madras,12 Weeks,Rerun,20 01 2025,11 04 2025,26 04 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Computational Biology,https://onlinecourses.nptel.ac.in/noc25_bt06/preview,noc25_bt06,https://onlinecourses.nptel.ac.in/noc24_bt15/preview,https://onlinecourses.nptel.ac.in/noc24_bt15/preview,noc24_bt15,
noc25-bt07,Biotechnology and Bioengineering,Biointerface Engineering,Prof. Lalit M. Pandey,IIT Guwahati,IIT Guwahati,8 Weeks,Rerun,20 01 2025,14 03 2025,22 03 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,Bioengineering,https://onlinecourses.nptel.ac.in/noc25_bt07/preview,noc25_bt07,https://onlinecourses.nptel.ac.in/noc24_bt16/preview,https://onlinecourses.nptel.ac.in/noc24_bt16/preview,noc24_bt16,
noc25-bt08,Biotechnology and Bioengineering,Biomechanics,Prof. Varadhan SKM,IIT Madras,IIT Madras,12 Weeks,Rerun,20 01 2025,11 04 2025,4 05 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Bioengineering,https://onlinecourses.nptel.ac.in/noc25_bt08/preview,noc25_bt08,https://onlinecourses.nptel.ac.in/noc24_bt06/preview,https://onlinecourses.nptel.ac.in/noc24_bt06/preview,noc24_bt06,
noc25-bt09,Biotechnology and Bioengineering,Bioreactor Design and Analysis,Prof. Smita Srivastava,IIT Madras,IIT Madras,8 Weeks,Rerun,20 01 2025,14 03 2025,22 03 2025,27 01 2025,14 02 2025,UG/PG,Core,Yes,Bioprocesses,https://onlinecourses.nptel.ac.in/noc25_bt09/preview,noc25_bt09,https://onlinecourses.nptel.ac.in/noc24_bt17/preview,https://onlinecourses.nptel.ac.in/noc24_bt17/preview,noc24_bt17,
noc25-bt10,Biotechnology and Bioengineering,Biostatistics and Design of experiments,Prof. Mukesh Doble,IIT Madras,IIT Madras,8 Weeks,Rerun,20 01 2025,14 03 2025,22 03 2025,27 01 2025,14 02 2025,UG/PG,Elective,Yes,,https://onlinecourses.nptel.ac.in/noc25_bt10/preview,noc25_bt10,https://onlinecourses.nptel.ac.in/noc24_bt33/preview,https://onlinecourses.nptel.ac.in/noc24_bt33/preview,noc24_bt33,
